Columns,Count
WELLNAME,45
COMMENTS,43
ENTITLEMENT,43
BARCODE_1,43
SOURCE,43
BARCODE_2,37
BARCODE_3,37
BARCODE_4,37
STANDARDOILFIELD,33
BARCODE_5,30
BARCODE_6,30
HORIZON,23
STANDARDHORIZON,23
BARCODE,10
SPECIFICGRAVITYUNIT,8
OILFIELD,6
MEASUREMENTDATE,6
CONTRACTOR,6
TECTONICBLOCK,6
PARENTBARCODE,5
WRDATE,5
LINKTYPE,5
FILENAME,5
CHAPTERTITLE,5
CHAPTER,5
WRMEDIUM,5
WRQUALITY,5
WROTHERSUBJECT,5
WRMAINSUBJECT,5
WRAUTHOR,5
INTERVALSTART,5
WRCATEGORY,5
INTERVALEND,5
FILTEREND,5
FILTERSTART,5
Unnamed: 12,4
PRESSUREBEHINDPIPESTART,4
BUFFERPRESSUREEND,4
BUFFERPRESSURESTART,4
DIAMETEROFTHIRDCHOKE,4
DIAMETEROFSECONDCHOKE,4
DIAMETEROFFIRSTCHOKE,4
DOCUMENTMEDIA,4
ELEVATIONREFERENCE,4
PERFORMEDWORKTYPE,4
ALTITUDEREFERENCE,4
TITLE,4
AUTHOR,4
Unnamed: 43,4
Unnamed: 42,4
DENSITYUNIT,4
SPECIFICGRAVITY,4
BUFFERPRESSUREUNIT,4
VISCOSITYUNIT,4
PRESSUREBEHINDPIPEEND,4
PRESSUREBEHINDPIPEUNIT,4
HORIZONDEPTHTOP,4
HORIZONDEPTHBOTTOM,4
FLOOR,4
SURVEYNAME,4
PERFORMEDWORKCLASS,4
CIRCULARPRESSURESTART,4
CIRCULARPRESSUREEND,4
CIRCULARPRESSUREUNIT,4
VERT_SCALE,3
Unnamed: 41,3
REF_NUM,3
QUAD_BLOCK,3
CATEGORY,3
PUB_DATE,3
PRODUCTIONMETHOD,3
PUBLISHER,3
VOLUME,3
ENCLOSURE,3
HOR_SCALE,3
Unnamed: 37,3
Unnamed: 36,3
Unnamed: 34,3
Unnamed: 11,3
Unnamed: 44,3
Unnamed: 35,3
Unnamed: 13,3
Unnamed: 49,3
DOCUMENTQUALITY,3
DIGITALFORMAT,3
RESEARCHAREA,3
ENVIRONMENT,3
LICENSE,3
CALCIUMIONS,2
ACTUALCASINGDEPTHEND,2
Unnamed: 33,2
Unnamed: 38,2
ACTUALCASINGCEMENTTOTALHEIGHT,2
Unnamed: 32,2
ACTUALCASINGNOTES,2
CEMENTCONSUMPTION,2
GRADEOFCEMENT,2
PERFORATIONCOMMENTS,2
SHALEDENSITYUNIT,2
DENSITYOFSHALECOMPONENTEND,2
DENSITYOFSHALECOMPONENTSTART,2
BICARBONATEIONS,2
CARBONATEIONS,2
PERFORATIONTOOLNUMBER,2
PERFORATIONTOOLTYPE,2
NUMBEROFPERFORATIONS,2
PERFORATOR,2
PERFORATIONINTERVALEND,2
PERFORATIONINTERVALSTART,2
PERFORATIONDATE,2
WELLBOTTOMDEPTH,2
NAPTHENICACID,2
ACTUALCASINGDEPTHSTART,2
PALMERS1,2
ACTUALCASINGDIAMETER_5,2
IONEQUIV,2
PLANNEDCASINGDIAMETER_2,2
PLANNEDCASINGDIAMETER_1,2
PLANNEDCASINGINFORMATION,2
WATERTYPE,2
BARCODE_7,2
IONSEQUIVUNIT,2
BICARBONATEIONSEQIV,2
IONEQUIVSUMX2,2
ACTUALCASINGDIAMETER_4,2
TETRABORICACIDPERCENT,2
CARBONATEIONSEQIV,2
NAPTHENICACIDEQUIV,2
CALCIUMIONSEQIV,2
TETRABORICACID,2
PALMERALOWER,2
PALMERAUPPER,2
PLANNEDCASINGDIAMETER_3,2
PLANNEDCASINGDIAMETER_4,2
PLANNEDCASINGDIAMETER_5,2
PLANNEDCASINGDEPTHSTART,2
ACTUALCASINGDIAMETER_3,2
MAGNESIUMIONSEQIV,2
PALMERS2,2
MAGNESIUMIONS,2
ACTUALCASINGDIAMETER_1,2
SODIUMANDPOTASSIUMIONSEQIV,2
ACTUALCASINGINFORMATION,2
STEELGRADE,2
IONSUNIT,2
CHLORIDEIONSEQIV,2
SULPHATEIONSEQIV,2
TUBETHICKNESS,2
PLANNEDCASINGNOTES,2
PLANNEDCASINGCEMENTTOTALHEIGHT,2
PLANNEDCASINGDEPTHEND,2
ACTUALCASINGDIAMETER_2,2
Unnamed: 54,2
BARCODE_8,2
TESTWORKSINFORMATION,2
BEFOREGASFLOWRATE,2
BEFOREWATERFLOWRATE,2
BEFOREOILFLOWRATE,2
BEFOREPRODUCTIONMETHOD,2
STOPREASONCLASS,2
STOPREASONTYPE,2
DATEPRODUCTIONENDED,2
DIRECTIONALELBOWDEPTH,2
STDWELLNAME,2
MAXINCLINATIONDEPTH,2
MAXINCLINATION,2
MAXINCLINATIONMINUTES,2
MAXINCLINATIONDEGREES,2
DIRECTIONALACTUALDISTANCE,2
Unnamed: 65,2
Unnamed: 64,2
BEFORECONDENSATEFLOWRATE,2
BEFOREFREEGASFLOWRATE,2
BEFOREVOLUMEOFPUMPED,2
BEFOREVOLUMEOFPUMPEDGAS,2
Unnamed: 9,2
Unnamed: 7,2
Unnamed: 6,2
COMPANY,2
PROVINCE,2
INITIALVOLUMEOFPUMPEDAIR,2
VOLUMEOFPUMPEDGAS,2
VOLUMEOFPUMPED,2
FREEGASFLOWRATE,2
CONDENSATEFLOWRATE,2
GASFLOWRATE,2
WATERFLOWRATE,2
OILFLOWRATE,2
EVENTDATE,2
BEFOREVOLUMEOFPUMPEDAIR,2
Unnamed: 63,2
DIRECTIONALACTUALDEPTH,2
DIRECTIONALACTUALAZIMUTH,2
PLANNEDSTANDARDHORIZON,2
PLANNEDDEPTH,2
DIRECTIONOFDRILLING,2
DATECONSTRUCTIONENDED,2
DATEDRILLINGENDED,2
DATEDRILLINGSTARTED,2
WATERDEPTH,2
ELEVATIONS,2
WELLSTATUS,2
WELLPURPOSE,2
WELLCATEGORY,2
PLATFORMNUMBER,2
RIGNAME,2
SITE,2
PRODUCTIONDEPARTMENT,2
OPERATOR,2
PLANNEDHORIZON,2
PLANNEDHORIZONDEPTHSTART,2
DIRECTIONALACTUALAZIMUTHMIN,2
PLANNEDHORIZONDEPTHEND,2
DIRECTIONALACTUALAZIMUTHDEG,2
Unnamed: 57,2
Unnamed: 56,2
Unnamed: 55,2
CHLORIDEIONS,2
ACTUALHORIZONDEPTHEND,2
ACTUALHORIZONDEPTHSTART,2
ACTUALSTANDARDHORIZON,2
ACTUALHORIZON,2
ACTUALDEPTH,2
DIRECTIONALPLANNEDDISTANCE,2
DIRECTIONALPLANNEDDEPTH,2
DIRECTIONALPLANNEDAZIMUTH,2
DIRECTIONALPLANNEDAZIMUTHMIN,2
DIRECTIONALPLANNEDAZIMUTHDEG,2
SULPHATEIONS,2
WELLDEPTHEND,2
PRODUCTIONPERCENT,2
MEDIA,2
DRILLINGMETHOD,2
BITSIZE,2
BITTYPE,2
Unnamed: 18,2
Unnamed: 17,2
Unnamed: 15,2
Unnamed: 10,2
SURVEY_NAME,2
REGION,2
COREINTERVALEND,2
OILSATURATIONPERCENTAGE,2
WATERSATURATIONPERCENTAGE,2
PERMEABILITYPERCENTAGE,2
POROSITYPERCENTAGE,2
CARBONATEPERCENTAGE,2
COMPOSITIONLESSTHAN0_01,2
COMPOSITION0_1TO0_01,2
COMPOSITION0_25TO0_1,2
PRODUCTIONWATER,2
HOOKLOADEND,2
ROTARYSPEED,2
PUMPRATESTART,2
Unnamed: 47,2
Unnamed: 46,2
COMPLICATIONSDEPTHEND,2
COMPLICATIONSDEPTHSTART,2
COMMERCIALROP,2
TRIPPINGTIME,2
DRILLINGTIME,2
DRILLINGFLUIDCOMPOSITION,2
FLUIDLOSSEND,2
FLUIDLOSSSTART,2
VISCOSITYEND,2
VISCOSITYSTART,2
DENSITYEND,2
DENSITYSTART,2
DENSITYINTERVALEND,2
DENSITYINTERVALSTART,2
PUMPRATEEND,2
COMPOSITIONGREATER0_25,2
COREINTERVALSTART,2
COMPLICATIONS,2
ENDDEPTHDEVIATION,2
BOTTOMLOGINTERVAL,2
TOPLOGINTERVAL,2
RUNNUMBER,2
RUNDATE,2
LOGCATEGORY,2
LOGTYPE,2
USERECORD,2
DEVIATION,2
STARTDEPTHDEVIATION,2
TEMPERATURE,2
INCLINATIONTOOLNAME,2
INCLINATIONTOOLTYPE,2
INCLINATIONDATE,2
AZIMUTHANGLE,2
INCLINATIONANGLE,2
INCLINATIONMINUTES,2
INCLINATIONDEGREES,2
MEASUREDDEPTH,2
DEPTHUNIT,2
SCALE_1,2
LOGUNITS_1,2
SCALE_2,2
VISCOSITYOFMUDFLUID,2
SPECIFICGRAVITYOFMUDFLUID,2
TYPEOFMUDFLUID,2
TOOLNAME,2
LOGUNITS_8,2
SCALE_8,2
LOGUNITS_7,2
SCALE_7,2
LOGUNITS_6,2
SCALE_6,2
LOGUNITS_5,2
SCALE_5,2
LOGUNITS_4,2
SCALE_4,2
LOGUNITS_3,2
SCALE_3,2
LOGUNITS_2,2
Unnamed: 48,2
HOOKLOADSTART,2
PREVENTIONMETHODS,2
VISCOSITY70DEGREES,2
LIGHTFRACTIONUNIT,2
LIGHTCOLOUREDFRACTION350C,2
LIGHTCOLOUREDFRACTION300C,2
LIGHTCOLOUREDFRACTION200C,2
LIGHTCOLOUREDFRACTION100C,2
VISCOSITY80DEGREES,2
VISCOSITY60DEGREES,2
Unnamed: 14,2
VISCOSITY50DEGREES,2
VISCOSITY40DEGREES,2
DATEOFMEASUREMENT,2
VISCOSITY20DEGREES,2
VISCOSITY10DEGREES,2
DENSITY,2
PERCENTOFKEROSENE,2
PETROL,2
NAPTHA,2
TAR,2
IGNITIONTEMPERATURE,2
ASPHALTENE,2
PARAFINE,2
SULPHUR,2
WATER,2
SPECIFICGRAVITYKEROSENE,2
SPECIFICGRAVITYBENZINE,2
SPECIFICGRAVITYNAPHTHA,2
WELLDEPTHSTART,2
SALINITY,2
SALINITYUNIT,2
SPECIFICGRAVITYMEASTEMP,2
PRODUCTIONOIL,2
DATEOFANALYSIS,2
VISCOSITY30DEGREES,2
CARBONDIOXIDE,2
HEXANE,2
HYDROGENSULPHIDE,2
OXYGEN,2
PENTANE,2
ISOBUTANE,2
BUTANE,2
PROPANE,2
ETHANE,2
METHANE,2
HYDROGEN,2
CONCESSIONBLOCK,1
AREAFIELDSITE,1
SHOOTINGCONTRACTOR,1
GEOLOGICALBASIN,1
DATESHOT,1
SURVEYVESSELNAME,1
GASFACTOR,1
NOOFINLINES3D,1
PROCESSEDDATE,1
NOOFCROSSLINES3D,1
VELOCITYMODEL,1
SURVEYTYPE,1
ORIG_REF_NUM,1
REPORTDATE,1
PROCESSINGCONTRACTOR,1
TOTALKM,1
REPORTSUBJECT,1
SPINTERVAL,1
Unnamed: 30,1
Unnamed: 29,1
Unnamed: 28,1
Unnamed: 27,1
Unnamed: 25,1
Unnamed: 24,1
Unnamed: 23,1
Unnamed: 22,1
Unnamed: 8,1
Unnamed: 40,1
DURATIONOFMEASUREMENT,1
DEPTHOFMEASUREMENT,1
PRESSUREREADING,1
PRESSUREREADINGUNIT,1
Unnamed: 5,1
Unnamed: 4,1
VISUALCOREDESCRIPTION,1
CORERECOVERY,1
DATEOFCORING,1
SAMPLERATE,1
RECORDLENGTH,1
RECORDINGFORMAT,1
GROUPLENGTH,1
PRESSURELAYER,1
FORMATIONTEMPERATURE,1
PRESSURELAYERUNIT,1
FREEGAS,1
SECTION1DESCENTDEPTH_UFAM,1
MONTHLYGASPRODUCTION,1
SECTION2DESCENTDEPTH_UFAM,1
MONTHLYWATERPRODUCTION,1
Unnamed: 74,1
Unnamed: 73,1
Unnamed: 72,1
Unnamed: 71,1
SECTION3DESCENTDEPTH_UFAM,1
MONTHLYOILPRODUCTION,1
SECTION4DESCENTDEPTH_UFAM,1
OPERATIONALDAYSPERMONTH,1
PLATFORMS,1
Unnamed: 31,1
WELLTYPE,1
Unnamed: 20,1
Unnamed: 62,1
CONDENSATE,1
INJECTIONDAYSPERMONTH,1
FORMATIONPRESSURE,1
MONTHLYWATERINJECTION,1
POREPRESSUREGRAD,1
FORMATIONPRESSUREGRAD,1
DEPTH,1
Unnamed: 19,1
Unnamed: 45,1
Unnamed: 50,1
Unnamed: 51,1
Unnamed: 52,1
DATEPRODUCTIONSTARTED,1
ActualCasingType,1
Unnamed: 39,1
Unnamed: 16,1
DAILYOILPRODUCTION,1
DAILYGASPRODUCTION,1
PUMPEDGAS,1
PlannedCasingType,1
PUMPEDAIR,1
Unnamed: 66,1
